fecha;SO2 (µg/m?);NO (µg/m?);NO2 (µg/m?);CO (mg/m?)
01/11/2016;1;43;66;0,8
02/11/2016;3;52;69;0,9
03/11/2016;2;60;79;1
04/11/2016;1;56;72;0,8
05/11/2016;1;24;48;0,5
06/11/2016;1;11;34;0,3
07/11/2016;1;32;55;0,5
08/11/2016;1;22;39;0,5
09/11/2016;1;23;36;0,4
10/11/2016;1;39;47;0,5
11/11/2016;2;36;49;0,6
12/11/2016;1;36;59;0,5
13/11/2016;2;37;55;0,5
14/11/2016;1;44;56;0,7
15/11/2016;1;69;64;0,9
16/11/2016;2;100;75;1
17/11/2016;3;133;91;1,1
18/11/2016;2;85;83;0,9
19/11/2016;1;31;52;0,5
20/11/2016;1;19;49;0,4
21/11/2016;1;34;53;0,6
22/11/2016;1;52;62;0,7
23/11/2016;1;41;60;0,7
24/11/2016;1;35;52;0,5
25/11/2016;2;45;56;0,6
26/11/2016;1;35;60;0,7
27/11/2016;1;20;46;0,6
28/11/2016;1;51;59;0,9
29/11/2016;2;47;59;0,8
30/11/2016;2;56;69;0,9
01/12/2016;1;34;63;0,7
02/12/2016;2;45;56;0,7
03/12/2016;2;53;66;0,8
04/12/2016;2;17;48;0,6
05/12/2016;1;25;50;0,7
06/12/2016;2;34;60;0,8
07/12/2016;2;82;81;1,2
08/12/2016;1;50;67;0,9
09/12/2016;2;58;72;0,8
10/12/2016;2;74;74;0,8
11/12/2016;2;50;54;0,6
12/12/2016;5;227;105;2
13/12/2016;4;235;108;1,9
14/12/2016;2;65;77;0,9
15/12/2016;2;111;89;1,3
16/12/2016;1;70;86;1
17/12/2016;1;28;52;0,7
18/12/2016;1;25;57;0,7
19/12/2016;1;45;64;0,8
20/12/2016;1;33;48;0,6
21/12/2016;2;79;66;1,1
22/12/2016;2;118;84;1,4
23/12/2016;1;36;52;Sense dades
24/12/2016;2;79;60;Sense dades
25/12/2016;1;36;38;Sense dades
26/12/2016;2;160;73;Sense dades
27/12/2016;5;276;107;Sense dades
28/12/2016;4;196;92;Sense dades
29/12/2016;2;98;76;Sense dades
30/12/2016;1;64;78;Sense dades
31/12/2016;2;80;74;Sense dades
01/01/2017;1;15;42;Sense dades
02/01/2017;1;47;61;0,2
03/01/2017;2;62;67;0,2
04/01/2017;1;31;57;0,3
05/01/2017;1;42;63;0,4
06/01/2017;1;19;51;0,3
07/01/2017;3;79;69;0,5
08/01/2017;2;66;65;0,6
09/01/2017;2;52;59;0,5
10/01/2017;2;47;55;0,6
11/01/2017;2;84;74;0,7
12/01/2017;4;66;57;0,6
13/01/2017;3;35;48;0,5
14/01/2017;2;20;42;0,4
15/01/2017;3;30;42;0,5
16/01/2017;3;61;69;0,7
17/01/2017;2;38;61;0,4
18/01/2017;2;43;72;0,4
