fecha;SO2 (µg/m?);NO (µg/m?);NO2 (µg/m?);CO (mg/m?)
01/11/2016;1;10;27;0,3
02/11/2016;3;42;39;0,4
03/11/2016;2;34;41;0,4
04/11/2016;4;17;36;0,3
05/11/2016;3;7;27;0,2
06/11/2016;4;4;18;0,2
07/11/2016;4;12;31;0,2
08/11/2016;7;32;35;0,3
09/11/2016;3;27;39;0,3
10/11/2016;6;49;41;0,4
11/11/2016;4;57;39;0,5
12/11/2016;5;28;33;0,4
13/11/2016;5;36;30;0,5
14/11/2016;2;11;24;0,2
15/11/2016;4;30;36;0,3
16/11/2016;5;38;39;0,4
17/11/2016;5;62;43;0,5
18/11/2016;2;38;53;0,5
19/11/2016;2;16;28;0,3
20/11/2016;3;4;20;0,2
21/11/2016;6;7;23;0,3
22/11/2016;4;3;15;0,2
23/11/2016;7;12;45;0,5
24/11/2016;6;22;38;0,5
25/11/2016;6;28;37;0,5
26/11/2016;6;14;34;0,4
27/11/2016;7;12;34;0,5
28/11/2016;7;32;32;0,5
29/11/2016;8;47;43;0,6
30/11/2016;3;33;36;0,5
01/12/2016;5;72;36;0,6
02/12/2016;5;109;49;0,8
03/12/2016;1;29;36;0,5
04/12/2016;1;20;26;0,6
05/12/2016;Sense dades;Sense dades;Sense dades;Sense dades
06/12/2016;Sense dades;Sense dades;Sense dades;Sense dades
07/12/2016;2;34;48;0,6
08/12/2016;2;25;35;0,5
09/12/2016;1;52;42;0,6
10/12/2016;3;39;31;0,6
11/12/2016;2;56;38;0,8
12/12/2016;8;141;57;1
13/12/2016;3;72;45;0,7
14/12/2016;5;58;46;0,6
15/12/2016;2;60;47;0,7
16/12/2016;1;40;47;0,5
17/12/2016;3;24;35;0,5
18/12/2016;1;23;31;0,5
19/12/2016;3;30;38;0,5
20/12/2016;1;14;32;0,4
21/12/2016;4;36;52;0,6
22/12/2016;5;70;52;0,7
23/12/2016;3;81;50;0,8
24/12/2016;1;66;37;0,8
25/12/2016;2;62;33;0,8
26/12/2016;2;73;40;0,8
27/12/2016;6;96;50;0,8
28/12/2016;3;71;47;0,7
29/12/2016;3;78;43;0,7
30/12/2016;3;54;45;0,6
31/12/2016;1;23;33;0,6
01/01/2017;3;36;35;0,7
02/01/2017;6;74;47;0,7
03/01/2017;3;61;45;0,7
04/01/2017;3;75;47;0,8
05/01/2017;2;33;38;0,4
06/01/2017;5;20;39;0,3
07/01/2017;11;84;51;0,7
08/01/2017;11;140;61;1,1
09/01/2017;2;47;44;0,4
10/01/2017;8;95;54;0,7
11/01/2017;9;26;42;0,3
12/01/2017;9;63;42;0,5
13/01/2017;3;24;41;0,3
14/01/2017;7;26;42;0,3
15/01/2017;6;14;35;0,3
16/01/2017;10;42;40;0,4
17/01/2017;7;13;29;0,3
18/01/2017;7;42;50;0,4
19/01/2017;6;31;50;0,3
20/01/2017;8;19;40;0,3
21/01/2017;7;7;29;0,3
22/01/2017;7;4;21;0,2
23/01/2017;8;21;46;0,3
24/01/2017;12;60;42;0,5
25/01/2017;3;18;44;0,3
26/01/2017;7;41;44;0,5
27/01/2017;7;43;51;0,5
28/01/2017;7;11;31;0,3
29/01/2017;7;18;30;0,4
30/01/2017;9;48;38;0,5
31/01/2017;5;19;32;0,3
01/02/2017;12;34;42;0,4
02/02/2017;9;14;41;0,3
03/02/2017;4;24;44;0,4
04/02/2017;1;9;30;0,3
05/02/2017;1;9;29;0,3
06/02/2017;1;11;35;0,3
07/02/2017;4;26;39;0,4
08/02/2017;4;15;34;0,3
09/02/2017;3;21;38;0,3
10/02/2017;3;30;48;0,4
11/02/2017;1;18;41;0,4
12/02/2017;4;6;29;0,3
13/02/2017;5;10;36;0,3
14/02/2017;3;11;34;0,3
15/02/2017;1;17;45;0,4
16/02/2017;1;12;36;0,4
17/02/2017;5;23;36;0,4
18/02/2017;2;25;32;0,4
19/02/2017;1;8;29;0,4
20/02/2017;3;29;34;0,4
21/02/2017;3;27;39;0,4
22/02/2017;2;37;41;0,5
23/02/2017;2;40;49;0,5
24/02/2017;1;18;35;0,4
25/02/2017;2;9;28;0,3
26/02/2017;1;9;25;0,3
27/02/2017;4;24;39;0,4
28/02/2017;4;35;43;0,4
01/03/2017;3;17;37;0,4
02/03/2017;3;27;44;0,4
03/03/2017;2;7;32;0,3
04/03/2017;1;4;17;0,2
05/03/2017;1;6;24;0,3
06/03/2017;2;28;36;0,4
07/03/2017;1;17;40;0,3
08/03/2017;2;23;39;0,3
09/03/2017;1;30;37;0,4
10/03/2017;1;27;43;0,4
11/03/2017;2;14;37;0,3
12/03/2017;1;9;31;0,4
13/03/2017;1;12;30;0,3
14/03/2017;1;14;34;0,3
15/03/2017;1;20;41;0,4
16/03/2017;3;22;47;0,4
17/03/2017;1;16;55;0,4
18/03/2017;1;9;34;0,4
19/03/2017;1;8;29;0,3
20/03/2017;1;16;39;0,3
21/03/2017;1;12;25;0,2
22/03/2017;1;6;24;0,2
23/03/2017;1;7;26;0,2
24/03/2017;1;12;37;0,3
25/03/2017;1;5;21;0,2
26/03/2017;1;5;24;0,3
27/03/2017;1;19;28;0,3
28/03/2017;1;12;30;0,2
29/03/2017;1;16;36;0,3
30/03/2017;1;22;33;0,3
31/03/2017;1;6;34;0,2
01/04/2017;1;6;28;0,2
02/04/2017;1;8;17;0,2
03/04/2017;1;12;32;0,2
04/04/2017;1;16;38;0,3
05/04/2017;1;9;34;0,2
06/04/2017;1;6;27;0,2
07/04/2017;1;12;35;0,2
08/04/2017;1;9;31;0,2
09/04/2017;2;3;23;0,2
10/04/2017;2;13;38;0,3
11/04/2017;2;16;30;0,3
12/04/2017;1;12;30;0,2
13/04/2017;1;10;31;0,3
14/04/2017;1;3;20;0,2
15/04/2017;1;6;21;0,2
16/04/2017;1;5;15;0,2
17/04/2017;1;4;15;0,2
18/04/2017;1;8;22;0,2
19/04/2017;1;6;21;0,2
20/04/2017;1;9;31;0,2
21/04/2017;1;10;31;0,2
22/04/2017;1;4;24;0,2
23/04/2017;1;3;21;0,2
24/04/2017;1;10;27;0,2
25/04/2017;2;5;27;0,2
26/04/2017;1;11;26;0,2
27/04/2017;1;13;28;0,2
28/04/2017;1;18;27;0,3
29/04/2017;2;8;22;0,2
30/04/2017;1;2;10;0,2
01/05/2017;1;2;13;0,2
02/05/2017;1;10;27;0,2
03/05/2017;1;9;24;0,2
04/05/2017;1;7;26;0,2
05/05/2017;1;7;27;0,2
06/05/2017;1;5;23;0,2
07/05/2017;2;5;21;0,2
08/05/2017;2;Sense dades;Sense dades;0,2
09/05/2017;1;Sense dades;Sense dades;0,2
10/05/2017;1;4;24;0,2
11/05/2017;1;8;31;0,3
12/05/2017;1;13;26;0,3
13/05/2017;1;4;20;0,2
14/05/2017;1;5;19;0,2
15/05/2017;1;10;27;0,2
16/05/2017;1;13;32;0,2
17/05/2017;1;7;25;0,2
18/05/2017;1;7;23;0,2
19/05/2017;1;7;20;0,2
20/05/2017;1;6;19;0,2
21/05/2017;1;4;15;0,2
22/05/2017;2;5;22;0,2
23/05/2017;4;7;25;0,3
24/05/2017;1;6;30;0,3
25/05/2017;1;8;36;0,3
26/05/2017;1;5;20;0,3
27/05/2017;1;3;14;0,3
28/05/2017;1;3;15;0,2
29/05/2017;1;5;28;0,3
30/05/2017;1;6;36;0,3
31/05/2017;1;7;31;0,3
01/06/2017;1;8;29;0,3
02/06/2017;1;10;28;0,3
03/06/2017;1;7;19;0,3
04/06/2017;1;3;12;0,2
05/06/2017;1;4;15;0,2
06/06/2017;1;13;22;0,3
07/06/2017;1;6;17;0,2
08/06/2017;2;10;20;0,2
09/06/2017;2;6;22;0,2
10/06/2017;1;3;19;0,2
11/06/2017;1;2;19;0,2
12/06/2017;1;5;27;0,2
13/06/2017;2;5;25;0,2
14/06/2017;1;8;36;0,2
15/06/2017;4;6;34;0,2
16/06/2017;2;6;31;0,2
17/06/2017;2;3;24;0,2
18/06/2017;1;2;16;0,2
19/06/2017;5;4;21;0,2
20/06/2017;2;4;22;0,2
21/06/2017;2;5;31;0,2
22/06/2017;1;7;30;0,2
23/06/2017;4;6;29;0,2
24/06/2017;1;2;12;0,2
25/06/2017;1;2;12;0,2
26/06/2017;2;8;23;0,2
27/06/2017;1;6;21;0,2
