fecha;SO2 (µg/m?);NO (µg/m?);NO2 (µg/m?);CO (mg/m?)
01/11/2016;1;15;47;0,2
02/11/2016;2;41;68;0,7
03/11/2016;1;37;68;0,4
04/11/2016;1;46;67;0,6
05/11/2016;1;7;33;0,2
06/11/2016;1;3;19;0,2
07/11/2016;Sense dades;21;43;0,5
08/11/2016;Sense dades;16;33;0,3
09/11/2016;1;7;29;0,2
10/11/2016;1;14;38;0,3
11/11/2016;1;23;50;0,8
12/11/2016;1;18;54;0,4
13/11/2016;2;21;52;0,4
14/11/2016;1;28;50;0,4
15/11/2016;1;47;57;0,4
16/11/2016;1;47;68;0,3
17/11/2016;2;70;85;0,8
18/11/2016;1;46;75;0,6
19/11/2016;1;17;47;0,3
20/11/2016;1;7;41;0,2
21/11/2016;1;12;43;0,3
22/11/2016;2;27;49;0,4
23/11/2016;1;15;45;0,3
24/11/2016;1;24;51;0,5
25/11/2016;2;41;59;0,6
26/11/2016;1;17;47;0,3
27/11/2016;1;7;33;0,3
28/11/2016;1;29;50;0,4
29/11/2016;1;29;47;0,3
30/11/2016;1;32;57;0,6
01/12/2016;1;38;68;0,5
02/12/2016;1;81;69;0,5
03/12/2016;1;33;54;0,3
04/12/2016;1;6;31;0,2
05/12/2016;1;9;32;0,3
06/12/2016;1;14;45;0,4
07/12/2016;1;37;68;0,4
08/12/2016;1;25;54;0,5
09/12/2016;1;31;61;0,3
10/12/2016;3;46;66;0,5
11/12/2016;2;38;59;0,5
12/12/2016;7;276;130;1,9
13/12/2016;1;81;88;0,6
14/12/2016;3;71;82;0,7
15/12/2016;2;50;74;0,6
16/12/2016;6;29;63;0,4
17/12/2016;3;7;31;0,2
18/12/2016;1;9;39;0,3
19/12/2016;2;20;45;0,3
20/12/2016;3;24;43;0,4
21/12/2016;4;41;58;0,6
22/12/2016;5;73;81;0,8
23/12/2016;6;112;89;1
24/12/2016;2;72;64;0,4
25/12/2016;3;65;57;0,5
26/12/2016;1;87;60;0,5
27/12/2016;4;176;104;1
28/12/2016;3;98;85;0,9
29/12/2016;6;79;70;0,7
30/12/2016;4;40;65;0,6
31/12/2016;3;19;61;0,3
01/01/2017;5;7;35;0,2
02/01/2017;7;50;64;0,7
03/01/2017;5;49;68;0,5
04/01/2017;5;33;60;0,5
05/01/2017;2;37;65;0,4
06/01/2017;4;13;48;0,3
07/01/2017;6;38;68;0,5
08/01/2017;7;99;90;0,8
09/01/2017;3;19;50;0,4
10/01/2017;5;42;62;0,6
11/01/2017;4;56;73;0,6
12/01/2017;5;45;56;0,6
13/01/2017;1;14;39;0,2
14/01/2017;1;7;31;0,2
15/01/2017;1;14;35;0,3
16/01/2017;2;40;64;0,4
17/01/2017;1;26;49;0,5
18/01/2017;2;40;63;0,4
19/01/2017;1;17;37;0,3
20/01/2017;2;9;29;0,3
21/01/2017;2;5;18;0,3
22/01/2017;2;4;16;0,2
23/01/2017;4;33;56;0,5
24/01/2017;3;43;62;0,6
25/01/2017;3;25;56;0,4
26/01/2017;3;39;64;0,5
27/01/2017;2;36;78;0,5
28/01/2017;2;14;41;0,3
29/01/2017;2;10;38;0,2
30/01/2017;4;80;81;0,8
31/01/2017;1;70;74;0,5
01/02/2017;1;48;78;0,4
02/02/2017;3;21;55;0,4
03/02/2017;2;20;55;0,4
04/02/2017;1;13;47;0,3
05/02/2017;1;3;20;0,2
06/02/2017;2;7;29;0,3
07/02/2017;3;35;65;0,5
08/02/2017;2;19;49;0,4
09/02/2017;2;25;62;0,4
10/02/2017;3;34;77;0,6
11/02/2017;1;10;40;0,2
12/02/2017;1;3;19;0,2
13/02/2017;1;8;33;0,3
14/02/2017;2;26;56;0,4
15/02/2017;1;16;44;0,4
16/02/2017;2;24;62;0,4
17/02/2017;2;57;83;0,6
18/02/2017;1;60;57;0,3
19/02/2017;1;4;32;0,2
20/02/2017;1;16;51;0,3
21/02/2017;2;70;86;0,9
22/02/2017;2;109;115;0,5
23/02/2017;3;69;89;0,4
24/02/2017;1;63;72;0,3
25/02/2017;1;10;39;0,5
26/02/2017;1;6;38;0,2
27/02/2017;2;13;54;0,3
28/02/2017;1;15;50;0,5
01/03/2017;2;17;49;0,4
02/03/2017;2;53;80;0,6
03/03/2017;1;14;47;0,4
04/03/2017;1;6;26;0,2
05/03/2017;1;7;36;0,3
06/03/2017;2;11;37;0,3
07/03/2017;1;10;34;0,3
08/03/2017;1;26;61;0,4
09/03/2017;1;80;91;0,6
10/03/2017;2;119;105;0,8
11/03/2017;1;39;78;0,3
12/03/2017;1;6;39;0,3
13/03/2017;3;15;40;0,6
14/03/2017;3;22;63;0,5
15/03/2017;3;38;80;0,4
16/03/2017;5;57;105;0,5
17/03/2017;2;58;100;0,4
18/03/2017;2;28;79;0,3
19/03/2017;3;26;76;0,3
20/03/2017;5;55;97;0,4
21/03/2017;3;18;61;0,5
22/03/2017;1;12;44;0,3
23/03/2017;1;10;38;0,2
24/03/2017;1;29;62;0,3
25/03/2017;Sense dades;Sense dades;Sense dades;Sense dades
26/03/2017;Sense dades;Sense dades;Sense dades;Sense dades
27/03/2017;Sense dades;12;45;0,3
28/03/2017;2;31;73;0,5
29/03/2017;2;89;99;0,5
30/03/2017;2;67;86;0,4
31/03/2017;2;33;75;0,4
01/04/2017;1;9;48;0,3
02/04/2017;2;6;35;0,2
03/04/2017;4;23;65;0,4
04/04/2017;3;58;79;0,4
05/04/2017;1;17;61;0,3
06/04/2017;4;22;67;0,5
07/04/2017;3;23;76;0,4
08/04/2017;4;41;76;0,4
09/04/2017;2;10;62;0,3
10/04/2017;3;12;63;0,3
11/04/2017;2;38;66;0,6
12/04/2017;2;11;48;0,4
13/04/2017;5;33;72;0,5
14/04/2017;3;11;51;0,3
15/04/2017;2;6;44;0,2
16/04/2017;2;4;28;0,2
17/04/2017;2;4;33;0,2
18/04/2017;2;19;51;0,4
19/04/2017;2;19;48;0,4
20/04/2017;3;15;47;0,4
21/04/2017;3;27;66;0,5
22/04/2017;3;4;37;0,3
23/04/2017;3;5;42;0,3
24/04/2017;3;23;72;0,5
25/04/2017;2;18;49;0,5
26/04/2017;2;18;44;0,4
27/04/2017;2;24;49;0,4
28/04/2017;4;37;61;0,6
29/04/2017;3;6;39;0,3
30/04/2017;2;2;16;0,2
01/05/2017;3;3;17;0,3
02/05/2017;3;14;36;0,5
03/05/2017;3;14;33;0,5
04/05/2017;3;10;31;0,5
05/05/2017;3;10;28;0,3
06/05/2017;3;4;21;0,3
07/05/2017;3;6;28;0,3
08/05/2017;4;26;68;0,5
09/05/2017;3;23;57;0,5
10/05/2017;3;18;49;0,4
11/05/2017;2;11;45;0,4
12/05/2017;1;11;43;0,4
13/05/2017;1;12;38;0,3
14/05/2017;1;8;42;0,3
15/05/2017;3;48;91;0,6
16/05/2017;2;35;84;0,6
17/05/2017;4;25;81;0,7
18/05/2017;1;12;49;0,3
19/05/2017;2;11;35;0,2
20/05/2017;2;9;30;0,2
21/05/2017;2;3;31;0,2
22/05/2017;2;16;51;0,3
23/05/2017;2;35;70;0,5
24/05/2017;3;55;95;0,6
25/05/2017;3;26;86;0,4
26/05/2017;1;15;52;0,3
27/05/2017;1;7;27;0,2
28/05/2017;1;8;41;0,2
29/05/2017;2;33;79;0,4
30/05/2017;1;19;59;0,3
31/05/2017;2;22;64;0,4
01/06/2017;4;30;81;0,4
02/06/2017;1;21;58;0,3
03/06/2017;1;7;35;0,2
04/06/2017;1;7;28;0,2
05/06/2017;1;4;19;0,2
06/06/2017;1;15;42;0,3
07/06/2017;1;16;43;0,3
08/06/2017;1;11;36;0,3
09/06/2017;1;31;64;0,4
10/06/2017;2;31;63;0,3
11/06/2017;3;31;66;0,3
12/06/2017;3;41;77;0,4
13/06/2017;3;45;86;0,5
14/06/2017;2;30;78;0,4
15/06/2017;4;52;122;0,6
16/06/2017;2;24;78;0,3
17/06/2017;1;9;46;0,2
18/06/2017;1;10;45;0,2
19/06/2017;1;17;44;0,3
20/06/2017;1;10;42;0,3
21/06/2017;2;13;59;0,3
22/06/2017;3;16;61;0,3
23/06/2017;5;15;57;0,3
24/06/2017;4;6;29;0,2
25/06/2017;1;10;33;0,2
26/06/2017;3;25;63;0,3
27/06/2017;2;25;51;0,3
28/06/2017;2;14;39;0,2
29/06/2017;2;9;31;0,2
30/06/2017;2;17;36;0,2
01/07/2017;4;9;24;0,2
02/07/2017;3;7;24;0,2
03/07/2017;3;19;52;0,3
04/07/2017;4;36;69;0,4
05/07/2017;1;26;44;0,4
06/07/2017;2;18;48;0,3
07/07/2017;2;15;50;0,3
08/07/2017;2;7;39;0,2
09/07/2017;1;4;27;0,2
10/07/2017;1;14;45;0,3
11/07/2017;2;15;43;0,3
12/07/2017;1;18;44;0,3
13/07/2017;1;13;41;0,3
14/07/2017;1;18;53;0,3
15/07/2017;1;9;37;0,2
16/07/2017;1;7;37;0,2
17/07/2017;2;13;49;0,3
18/07/2017;1;16;55;0,3
19/07/2017;1;11;40;0,3
20/07/2017;1;9;34;0,3
21/07/2017;2;9;46;0,3
22/07/2017;1;6;35;0,2
23/07/2017;2;6;28;0,2
24/07/2017;2;8;33;0,2
25/07/2017;2;13;35;0,3
26/07/2017;2;19;53;0,4
27/07/2017;2;8;45;0,3
28/07/2017;1;16;38;0,3
29/07/2017;1;9;35;0,2
30/07/2017;1;7;34;0,2
31/07/2017;1;10;30;0,2
01/08/2017;1;13;44;0,3
02/08/2017;2;28;61;0,5
03/08/2017;1;24;64;0,4
04/08/2017;1;10;61;0,3
05/08/2017;2;13;58;0,3
06/08/2017;2;7;35;0,2
07/08/2017;2;7;28;0,2
08/08/2017;2;11;33;0,2
09/08/2017;2;10;32;0,2
10/08/2017;2;7;25;0,2
11/08/2017;2;9;31;0,2
12/08/2017;2;5;28;0,2
13/08/2017;2;5;31;0,2
14/08/2017;2;8;35;0,2
15/08/2017;2;5;25;0,2
16/08/2017;2;13;38;0,2
17/08/2017;2;14;59;0,2
18/08/2017;2;10;48;0,2
19/08/2017;1;4;30;0,2
20/08/2017;1;2;19;0,2
21/08/2017;1;7;39;0,2
22/08/2017;2;11;40;0,2
23/08/2017;1;5;43;0,2
24/08/2017;1;6;45;0,2
25/08/2017;2;20;58;0,2
26/08/2017;2;8;33;0,2
27/08/2017;2;4;26;0,2
28/08/2017;2;14;52;0,3
29/08/2017;2;8;46;0,2
30/08/2017;2;4;36;0,2
31/08/2017;2;13;41;0,3
01/09/2017;3;18;48;0,3
