fecha;SO2 (æg/mü);NO (æg/mü);NO2 (æg/mü);CO (mg/mü);PM10 (æg/mü)
01/11/2016;2;4;31;0,2;17
02/11/2016;2;12;39;0,4;24
03/11/2016;3;21;49;0,4;27
04/11/2016;2;24;44;0,4;28
05/11/2016;2;3;20;0,2;18
06/11/2016;2;2;16;0,4;7
07/11/2016;2;6;27;0,5;11
08/11/2016;2;3;15;0,4;12
09/11/2016;2;3;17;0,4;16
10/11/2016;2;6;22;0,4;12
11/11/2016;2;20;32;0,4;17
12/11/2016;2;11;38;0,2;16
13/11/2016;2;12;43;0,3;18
14/11/2016;2;9;35;0,4;19
15/11/2016;2;21;43;0,5;20
16/11/2016;2;45;57;0,6;24
17/11/2016;3;51;65;0,7;33
18/11/2016;3;15;49;0,4;22
19/11/2016;2;5;29;0,3;18
20/11/2016;2;2;24;0,2;19
21/11/2016;2;3;26;0,2;30
22/11/2016;2;15;37;0,2;25
23/11/2016;2;3;30;0,2;39
24/11/2016;2;8;26;0,4;8
25/11/2016;2;22;36;0,6;13
26/11/2016;2;3;32;0,4;16
27/11/2016;2;2;22;0,2;15
28/11/2016;2;6;33;0,3;14
29/11/2016;2;13;33;0,4;24
30/11/2016;2;10;39;0,5;20
01/12/2016;2;15;41;0,4;20
02/12/2016;2;15;36;0,6;13
03/12/2016;2;5;34;0,4;17
04/12/2016;2;2;19;0,2;15
05/12/2016;2;1;20;0,2;24
06/12/2016;3;7;32;0,3;21
07/12/2016;2;10;44;0,5;19
08/12/2016;2;21;45;0,6;19
09/12/2016;3;27;44;0,5;19
10/12/2016;2;26;56;0,5;18
11/12/2016;2;18;39;0,6;13
12/12/2016;3;88;70;1,1;29
13/12/2016;3;58;66;0,8;28
14/12/2016;2;40;57;0,6;23
15/12/2016;2;31;55;0,4;22
16/12/2016;2;8;46;0,3;17
17/12/2016;2;3;23;0,2;21
18/12/2016;2;2;23;0,3;17
19/12/2016;2;3;28;0,3;11
20/12/2016;2;4;20;0,3;8
21/12/2016;2;7;25;0,4;12
22/12/2016;2;28;41;0,5;15
23/12/2016;2;21;36;0,4;14
24/12/2016;2;12;31;0,3;11
25/12/2016;2;6;17;0,3;6
26/12/2016;2;25;44;0,4;15
27/12/2016;3;67;64;0,5;25
28/12/2016;2;42;56;0,4;21
29/12/2016;2;22;45;0,4;17
30/12/2016;2;20;48;0,3;22
31/12/2016;2;21;50;0,3;20
01/01/2017;2;7;23;0,2;14
02/01/2017;2;31;44;0,4;19
03/01/2017;2;29;48;0,5;24
04/01/2017;2;10;40;0,3;20
05/01/2017;2;9;40;0,5;25
06/01/2017;2;10;38;0,5;18
07/01/2017;3;23;51;0,5;22
08/01/2017;2;8;42;0,5;20
09/01/2017;2;7;33;0,5;19
10/01/2017;2;17;43;0,6;16
11/01/2017;2;37;55;0,4;20
12/01/2017;3;19;39;0,3;17
13/01/2017;2;6;26;0,3;14
14/01/2017;2;2;14;0,3;8
15/01/2017;2;4;21;0,3;8
16/01/2017;3;24;46;0,5;14
17/01/2017;2;11;39;0,5;15
18/01/2017;2;8;42;0,3;20
19/01/2017;1;4;25;0,3;24
20/01/2017;1;5;24;0,3;14
21/01/2017;1;5;16;0,2;18
22/01/2017;1;5;14;0,2;7
23/01/2017;1;12;37;0,3;9
24/01/2017;1;17;37;0,4;21
25/01/2017;1;8;42;0,4;20
26/01/2017;1;19;50;0,4;18
27/01/2017;1;21;61;0,4;20
28/01/2017;1;9;27;0,2;10
29/01/2017;1;6;22;0,2;10
30/01/2017;2;58;57;0,5;25
31/01/2017;2;39;51;0,5;22
01/02/2017;1;27;49;0,4;20
02/02/2017;1;8;39;0,3;21
03/02/2017;1;5;27;0,4;13
04/02/2017;1;4;28;0,3;16
05/02/2017;1;1;11;0,2;10
06/02/2017;1;2;12;0,2;10
07/02/2017;2;11;38;0,3;16
08/02/2017;1;9;31;0,4;10
09/02/2017;1;8;41;0,5;13
10/02/2017;2;24;54;0,5;22
11/02/2017;1;2;24;0,3;18
12/02/2017;1;1;14;0,2;36
13/02/2017;1;2;26;0,2;46
14/02/2017;1;8;34;0,3;24
15/02/2017;1;5;27;0,3;25
16/02/2017;2;10;41;0,3;33
17/02/2017;1;24;44;0,4;27
18/02/2017;1;19;41;0,4;24
19/02/2017;1;2;23;0,2;20
20/02/2017;1;3;25;0,3;22
21/02/2017;1;9;38;0,4;22
22/02/2017;3;39;68;0,6;32
23/02/2017;2;25;58;0,5;32
24/02/2017;1;27;55;0,3;33
25/02/2017;1;5;27;0,3;20
26/02/2017;1;2;24;0,3;19
27/02/2017;2;3;30;0,3;31
