@relation pordiascalidadaire
@attribute fecha date 'dd-MM-yyyy'
@attribute 'SO2 (µg/m³)' numeric
@attribute 'NO (µg/m³)' numeric
@attribute 'NO2 (µg/m³)' numeric
@attribute 'CO (mg/m³)' numeric
@attribute barrio {eixample,girona,gracia,palaureial}
@attribute anyo {2016,2017}
@attribute mes {1,10,11,12,2,3,4,5,6,7,8,9}
@attribute dia {1,2,3,4,5,6,7}
@attribute laborable {falso,verdadero}
@attribute trimestre {1erTrimestre,'2do Trimestre','3do Trimestre','4o Trimestre'}
@data
01-11-2016,1.00,10.00,27.00,0.30,girona,2016,11,3,verdadero,'4o Trimestre'
01-11-2016,1.00,15.00,47.00,0.20,gracia,2016,11,3,verdadero,'4o Trimestre'
01-11-2016,1.00,43.00,66.00,0.80,eixample,2016,11,3,verdadero,'4o Trimestre'
01-11-2016,2.00,4.00,31.00,0.20,palaureial,2016,11,3,verdadero,'4o Trimestre'
02-11-2016,2.00,12.00,39.00,0.40,palaureial,2016,11,4,verdadero,'4o Trimestre'
02-11-2016,2.00,41.00,68.00,0.70,gracia,2016,11,4,verdadero,'4o Trimestre'
02-11-2016,3.00,42.00,39.00,0.40,girona,2016,11,4,verdadero,'4o Trimestre'
02-11-2016,3.00,52.00,69.00,0.90,eixample,2016,11,4,verdadero,'4o Trimestre'
03-11-2016,1.00,37.00,68.00,0.40,gracia,2016,11,5,verdadero,'4o Trimestre'
03-11-2016,2.00,34.00,41.00,0.40,girona,2016,11,5,verdadero,'4o Trimestre'
03-11-2016,2.00,60.00,79.00,1.00,eixample,2016,11,5,verdadero,'4o Trimestre'
03-11-2016,3.00,21.00,49.00,0.40,palaureial,2016,11,5,verdadero,'4o Trimestre'
04-11-2016,1.00,46.00,67.00,0.60,gracia,2016,11,6,verdadero,'4o Trimestre'
04-11-2016,1.00,56.00,72.00,0.80,eixample,2016,11,6,verdadero,'4o Trimestre'
04-11-2016,2.00,24.00,44.00,0.40,palaureial,2016,11,6,verdadero,'4o Trimestre'
04-11-2016,4.00,17.00,36.00,0.30,girona,2016,11,6,verdadero,'4o Trimestre'
05-11-2016,1.00,24.00,48.00,0.50,eixample,2016,11,7,falso,'4o Trimestre'
05-11-2016,1.00,7.00,33.00,0.20,gracia,2016,11,7,falso,'4o Trimestre'
05-11-2016,2.00,3.00,20.00,0.20,palaureial,2016,11,7,falso,'4o Trimestre'
05-11-2016,3.00,7.00,27.00,0.20,girona,2016,11,7,falso,'4o Trimestre'
06-11-2016,1.00,11.00,34.00,0.30,eixample,2016,11,1,falso,'4o Trimestre'
06-11-2016,1.00,3.00,19.00,0.20,gracia,2016,11,1,falso,'4o Trimestre'
06-11-2016,2.00,2.00,16.00,0.40,palaureial,2016,11,1,falso,'4o Trimestre'
06-11-2016,4.00,4.00,18.00,0.20,girona,2016,11,1,falso,'4o Trimestre'
07-11-2016,1.00,32.00,55.00,0.50,eixample,2016,11,2,verdadero,'4o Trimestre'
07-11-2016,2.00,6.00,27.00,0.50,palaureial,2016,11,2,verdadero,'4o Trimestre'
07-11-2016,4.00,12.00,31.00,0.20,girona,2016,11,2,verdadero,'4o Trimestre'
07-11-2016,?,21.00,43.00,0.50,gracia,2016,11,2,verdadero,'4o Trimestre'
08-11-2016,1.00,22.00,39.00,0.50,eixample,2016,11,3,verdadero,'4o Trimestre'
08-11-2016,2.00,3.00,15.00,0.40,palaureial,2016,11,3,verdadero,'4o Trimestre'
08-11-2016,7.00,32.00,35.00,0.30,girona,2016,11,3,verdadero,'4o Trimestre'
08-11-2016,?,16.00,33.00,0.30,gracia,2016,11,3,verdadero,'4o Trimestre'
09-11-2016,1.00,23.00,36.00,0.40,eixample,2016,11,4,verdadero,'4o Trimestre'
09-11-2016,1.00,7.00,29.00,0.20,gracia,2016,11,4,verdadero,'4o Trimestre'
09-11-2016,2.00,3.00,17.00,0.40,palaureial,2016,11,4,verdadero,'4o Trimestre'
09-11-2016,3.00,27.00,39.00,0.30,girona,2016,11,4,verdadero,'4o Trimestre'
10-11-2016,1.00,14.00,38.00,0.30,gracia,2016,11,5,verdadero,'4o Trimestre'
10-11-2016,1.00,39.00,47.00,0.50,eixample,2016,11,5,verdadero,'4o Trimestre'
10-11-2016,2.00,6.00,22.00,0.40,palaureial,2016,11,5,verdadero,'4o Trimestre'
10-11-2016,6.00,49.00,41.00,0.40,girona,2016,11,5,verdadero,'4o Trimestre'
11-11-2016,1.00,23.00,50.00,0.80,gracia,2016,11,6,verdadero,'4o Trimestre'
11-11-2016,2.00,20.00,32.00,0.40,palaureial,2016,11,6,verdadero,'4o Trimestre'
11-11-2016,2.00,36.00,49.00,0.60,eixample,2016,11,6,verdadero,'4o Trimestre'
11-11-2016,4.00,57.00,39.00,0.50,girona,2016,11,6,verdadero,'4o Trimestre'
12-11-2016,1.00,18.00,54.00,0.40,gracia,2016,11,7,falso,'4o Trimestre'
12-11-2016,1.00,36.00,59.00,0.50,eixample,2016,11,7,falso,'4o Trimestre'
12-11-2016,2.00,11.00,38.00,0.20,palaureial,2016,11,7,falso,'4o Trimestre'
12-11-2016,5.00,28.00,33.00,0.40,girona,2016,11,7,falso,'4o Trimestre'
13-11-2016,2.00,12.00,43.00,0.30,palaureial,2016,11,1,falso,'4o Trimestre'
13-11-2016,2.00,21.00,52.00,0.40,gracia,2016,11,1,falso,'4o Trimestre'
13-11-2016,2.00,37.00,55.00,0.50,eixample,2016,11,1,falso,'4o Trimestre'
13-11-2016,5.00,36.00,30.00,0.50,girona,2016,11,1,falso,'4o Trimestre'
14-11-2016,1.00,28.00,50.00,0.40,gracia,2016,11,2,verdadero,'4o Trimestre'
14-11-2016,1.00,44.00,56.00,0.70,eixample,2016,11,2,verdadero,'4o Trimestre'
14-11-2016,2.00,11.00,24.00,0.20,girona,2016,11,2,verdadero,'4o Trimestre'
14-11-2016,2.00,9.00,35.00,0.40,palaureial,2016,11,2,verdadero,'4o Trimestre'
15-11-2016,1.00,47.00,57.00,0.40,gracia,2016,11,3,verdadero,'4o Trimestre'
15-11-2016,1.00,69.00,64.00,0.90,eixample,2016,11,3,verdadero,'4o Trimestre'
15-11-2016,2.00,21.00,43.00,0.50,palaureial,2016,11,3,verdadero,'4o Trimestre'
15-11-2016,4.00,30.00,36.00,0.30,girona,2016,11,3,verdadero,'4o Trimestre'
